"Region","Barangay","density"
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Bus-bus",2489.93545869889
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Poblacion",1723.59243075555
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Asturias",1568.35361702766
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Anuling",1189.19045754612
"AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Landasan (Sarmiento)",1152.97939071156
"CORDILLERA ADMINISTRATIVE REGION","Irisan",1810.27423388293
"CORDILLERA ADMINISTRATIVE REGION","Pico",1381.54537362777
"CORDILLERA ADMINISTRATIVE REGION","Bulanao",1165.19306573984
"CORDILLERA ADMINISTRATIVE REGION","Balili",1125.19815199424
"CORDILLERA ADMINISTRATIVE REGION","Poblacion",783.045818675031
"MIMAROPA REGION","San Pedro",1088.54890436985
"MIMAROPA REGION","Rio Tuba",1051.14528182394
"MIMAROPA REGION","Santa Monica",990.235034832172
"MIMAROPA REGION","San Miguel",968.305374709732
"MIMAROPA REGION","San Jose",863.437247202871
"NATIONAL CAPITAL REGION","Barangay 176",678817.493624302
"NATIONAL CAPITAL REGION","Commonwealth",546008.667721212
"NATIONAL CAPITAL REGION","Batasan Hills",444464.851341318
"NATIONAL CAPITAL REGION","Pinagbuhatan",418497.875843368
"NATIONAL CAPITAL REGION","Payatas",358892.239403428
"NEGROS ISLAND REGION","Mansilingan",4102.34622432106
"NEGROS ISLAND REGION","Estefania",3716.45455628883
"NEGROS ISLAND REGION","Taculing",3622.02459517035
"NEGROS ISLAND REGION","Tangub",3518.06083990049
"NEGROS ISLAND REGION","Villamonte",3320.93829606567
"REGION I - ILOCOS","Bonuan Gueset",5886.23847054522
"REGION I - ILOCOS","Pantal",4493.06381521402
"REGION I - ILOCOS","Bonuan Boquig",3614.90039816053
"REGION I - ILOCOS","Poblacion",3082.00857410398
"REGION I - ILOCOS","Sevilla",2888.59604060898
"REGION II - CAGAYAN VALLEY","Rizal",1069.10417577173
"REGION II - CAGAYAN VALLEY","Rosario",886.15669600843
"REGION II - CAGAYAN VALLEY","Ugac Sur",841.000734661265
"REGION II - CAGAYAN VALLEY","San Fermin",840.845825702955
"REGION II - CAGAYAN VALLEY","District I (Pob.)",825.819656746952
"REGION III - CENTRAL LUZON","Muzon",15095.3911200442
"REGION III - CENTRAL LUZON","Loma de Gato",8151.9898257068
"REGION III - CENTRAL LUZON","Dau",7723.21348440783
"REGION III - CENTRAL LUZON","Gaya-gaya",6185.67929886484
"REGION III - CENTRAL LUZON","Santa Rita",6178.45750447705
"REGION IV-A – CALABARZON","San Jose",30267.3597059892
"REGION IV-A – CALABARZON","San Isidro",28427.3404254036
"REGION IV-A – CALABARZON","Cupang",27539.2057074394
"REGION IV-A – CALABARZON","San Juan",25049.8106327965
"REGION IV-A – CALABARZON","San Jose (Pob.)",24979.0313375876
"REGION IX - ZAMBOANGA PENINSULA","Talon-talon",3932.79377757848
"REGION IX - ZAMBOANGA PENINSULA","Mampang",3864.76171658474
"REGION IX - ZAMBOANGA PENINSULA","Tumaga",3471.88782793216
"REGION IX - ZAMBOANGA PENINSULA","Tetuan",3354.85916671942
"REGION IX - ZAMBOANGA PENINSULA","Calarian",3255.06379248025
"REGION V - BICOL","Concepcion Pequeño",4517.70142874729
"REGION V - BICOL","San Felipe",3342.52804525885
"REGION V - BICOL","Cararayan",3065.45308805612
"REGION V - BICOL","Bibincahan",3015.63324789519
"REGION V - BICOL","San Jose",2414.15448533686
"REGION VI - WESTERN VISAYAS","Calumpang",4019.53347017958
"REGION VI - WESTERN VISAYAS","Manoc-Manoc",3929.32611837357
"REGION VI - WESTERN VISAYAS","Andagaw",3370.30585291691
"REGION VI - WESTERN VISAYAS","Semirara",3298.93591869392
"REGION VI - WESTERN VISAYAS","Balabag",3262.3223464903
"REGION VII - CENTRAL VISAYAS","Guadalupe",14331.0375707639
"REGION VII - CENTRAL VISAYAS","Basak",14011.5975778821
"REGION VII - CENTRAL VISAYAS","Lahug (Pob.)",9029.50379879085
"REGION VII - CENTRAL VISAYAS","Tisa",8838.07382503461
"REGION VII - CENTRAL VISAYAS","Basak San Nicolas",8289.52632077466
"REGION VIII - EASTERN VISAYAS","Canlapwas (Pob.)",2327.94069924484
"REGION VIII - EASTERN VISAYAS","Dalakit (Pob.)",2260.11091992263
"REGION VIII - EASTERN VISAYAS","Tambulilid",1950.43680207
"REGION VIII - EASTERN VISAYAS","Mercedes",1835.74968215752
"REGION VIII - EASTERN VISAYAS","Poblacion",1786.24716911458
"REGION X - NORTHERN MINDANAO","Carmen",6967.01881026526
"REGION X - NORTHERN MINDANAO","Lapasan",4310.25729635247
"REGION X - NORTHERN MINDANAO","Poblacion",3537.57169999184
"REGION X - NORTHERN MINDANAO","Kauswagan",3466.01575579062
"REGION X - NORTHERN MINDANAO","Balulang",3438.73752291834
"REGION XI - DAVAO ","Bucana",4778.95149994764
"REGION XI - DAVAO ","Buhangin (Pob.)",3725.82230644171
"REGION XI - DAVAO ","Ma-a",3403.78777275223
"REGION XI - DAVAO ","Talomo (Pob.)",3396.67318867461
"REGION XI - DAVAO ","Sasa",2981.63681192245
"REGION XII - SOCCSKSARGEN","Calumpang",3951.25839986518
"REGION XII - SOCCSKSARGEN","Fatima",3485.44813324626
"REGION XII - SOCCSKSARGEN","Labangal",3236.49504434286
"REGION XII - SOCCSKSARGEN","San Isidro (Lagao 2nd)",2770.73722202327
"REGION XII - SOCCSKSARGEN","Lagao (1st & 3rd)",2663.59351849901
"REGION XIII – CARAGA","Mangagoy",2015.11247807823
"REGION XIII – CARAGA","Libertad",1347.15334252501
"REGION XIII – CARAGA","Washington (Pob.)",1173.16491608177
"REGION XIII – CARAGA","Taft (Pob.)",1152.74315643146
"REGION XIII – CARAGA","Poblacion",1125.92795834959
